"iteration","training-loss","Mistral-7b-VE-algebraic-stack-a100-16node-128gpu-4096s-BS=1024-LR=6e-5-MINLR=2e-6-WARMUP=1000-WD=0.1-GC=1 - training/loss__MIN","Mistral-7b-VE-algebraic-stack-a100-16node-128gpu-4096s-BS=1024-LR=6e-5-MINLR=2e-6-WARMUP=1000-WD=0.1-GC=1 - training/loss__MAX"
"184","2.4049322605133057","2.4049322605133057","2.4049322605133057"
"185","2.400317430496216","2.400317430496216","2.400317430496216"
"186","2.393157720565796","2.393157720565796","2.393157720565796"
"187","2.383924722671509","2.383924722671509","2.383924722671509"
"188","2.3843867778778076","2.3843867778778076","2.3843867778778076"
"189","2.3910534381866455","2.3910534381866455","2.3910534381866455"
"190","2.3913097381591797","2.3913097381591797","2.3913097381591797"
"191","2.3837199211120605","2.3837199211120605","2.3837199211120605"
"192","2.3721556663513184","2.3721556663513184","2.3721556663513184"
"193","2.3772873878479004","2.3772873878479004","2.3772873878479004"
"194","2.3739259243011475","2.3739259243011475","2.3739259243011475"
"195","2.3725855350494385","2.3725855350494385","2.3725855350494385"
"196","2.371983528137207","2.371983528137207","2.371983528137207"
"197","2.35270094871521","2.35270094871521","2.35270094871521"
"198","2.364445209503174","2.364445209503174","2.364445209503174"
"199","2.3731863498687744","2.3731863498687744","2.3731863498687744"
"200","2.351611852645874","2.351611852645874","2.351611852645874"
"201","2.359126091003418","2.359126091003418","2.359126091003418"
"202","2.3385374546051025","2.3385374546051025","2.3385374546051025"
"203","2.3440895080566406","2.3440895080566406","2.3440895080566406"
"204","2.3330633640289307","2.3330633640289307","2.3330633640289307"
"205","2.3493924140930176","2.3493924140930176","2.3493924140930176"
"206","2.3295369148254395","2.3295369148254395","2.3295369148254395"
"207","2.329277276992798","2.329277276992798","2.329277276992798"
"208","2.3297626972198486","2.3297626972198486","2.3297626972198486"
"209","2.335606336593628","2.335606336593628","2.335606336593628"
"210","2.335479974746704","2.335479974746704","2.335479974746704"
"211","2.324073314666748","2.324073314666748","2.324073314666748"
"212","2.2938919067382812","2.2938919067382812","2.2938919067382812"
"213","2.328881025314331","2.328881025314331","2.328881025314331"
"214","2.29392147064209","2.29392147064209","2.29392147064209"
"215","2.3301243782043457","2.3301243782043457","2.3301243782043457"
"216","2.30832576751709","2.30832576751709","2.30832576751709"
"217","2.294477939605713","2.294477939605713","2.294477939605713"
"218","2.307201862335205","2.307201862335205","2.307201862335205"
"219","2.314842700958252","2.314842700958252","2.314842700958252"
"220","2.322112798690796","2.322112798690796","2.322112798690796"
"221","2.3000645637512207","2.3000645637512207","2.3000645637512207"
"222","2.348933219909668","2.348933219909668","2.348933219909668"
"223","2.334799289703369","2.334799289703369","2.334799289703369"
"224","2.3570685386657715","2.3570685386657715","2.3570685386657715"
"225","2.3341023921966553","2.3341023921966553","2.3341023921966553"
"226","2.314361810684204","2.314361810684204","2.314361810684204"
"227","2.32777738571167","2.32777738571167","2.32777738571167"
"228","2.291393995285034","2.291393995285034","2.291393995285034"
"229","2.296276330947876","2.296276330947876","2.296276330947876"
"230","2.316096782684326","2.316096782684326","2.316096782684326"
"231","2.2921643257141113","2.2921643257141113","2.2921643257141113"
"232","2.2891716957092285","2.2891716957092285","2.2891716957092285"
"233","2.2828688621520996","2.2828688621520996","2.2828688621520996"
"234","2.2855546474456787","2.2855546474456787","2.2855546474456787"
"235","2.2868783473968506","2.2868783473968506","2.2868783473968506"
"236","2.2787365913391113","2.2787365913391113","2.2787365913391113"
"237","2.268484115600586","2.268484115600586","2.268484115600586"
"238","2.265982151031494","2.265982151031494","2.265982151031494"
"239","2.267151355743408","2.267151355743408","2.267151355743408"
"240","2.2711503505706787","2.2711503505706787","2.2711503505706787"
"241","2.262406587600708","2.262406587600708","2.262406587600708"
"242","2.2410097122192383","2.2410097122192383","2.2410097122192383"
"243","2.2419824600219727","2.2419824600219727","2.2419824600219727"
"244","2.2618885040283203","2.2618885040283203","2.2618885040283203"
"245","2.248321294784546","2.248321294784546","2.248321294784546"
"246","2.255786895751953","2.255786895751953","2.255786895751953"
"247","2.253981113433838","2.253981113433838","2.253981113433838"
"248","2.2578256130218506","2.2578256130218506","2.2578256130218506"
"249","2.26012921333313","2.26012921333313","2.26012921333313"
"250","2.249652862548828","2.249652862548828","2.249652862548828"
"251","2.240173578262329","2.240173578262329","2.240173578262329"
